cid1,cid2,tabsAgreement,rmsd,tfd
1,0,0,3.0656488003294085,0.16847860017498026
2,0,0,2.482844188403148,0.13687585377278005
2,1,0,2.0750878786011344,0.056142713815787566
3,0,0,2.1453488507614185,0.177669880225899
3,1,0,2.66033120756108,0.20516765752060862
3,2,0,2.593794726749934,0.18713891579324446
4,0,0,2.556403885324404,0.1714467242148892
4,1,0,2.449136413749535,0.00338529635779717
4,2,0,2.962912801533378,0.15484519722820686
4,3,0,3.2000857469555495,0.16942072826695562
5,0,0,2.8886097871548,0.19240326905506555
5,1,0,1.8825310038692624,0.16296069540872857
5,2,0,2.892085817182243,0.20715259802776892
5,3,0,2.5505145522030723,0.19309266409670248
5,4,0,1.6794042608317072,0.17028747338274694
6,0,0,3.009306343447894,0.19713249245629744
6,1,0,1.9454416556936336,0.17493147829634248
6,2,0,2.9364732498466437,0.15703642026951653
6,3,0,2.8254032915631186,0.2730633436734338
6,4,0,1.2459511493180973,0.1561801817237895
6,5,0,1.188179692774329,0.16506969901784316
7,0,0,2.6620031894232845,0.21484356507984392
7,1,0,2.3888466376756265,0.18783416966255898
7,2,0,2.998835588209399,0.14427032532700226
7,3,0,3.1592243228142376,0.13731143003763346
7,4,1,0.2712401729178381,0.18104556536810681
7,5,0,1.7021311400285617,0.05702686378955051
7,6,0,1.1851382133729471,0.20381192429029377
8,0,0,0.4720485490871623,0.017364113665218252
8,1,0,3.12985645878112,0.1895983108314977
8,2,0,2.4971274200000377,0.18867031236258597
8,3,0,2.0390223601910513,0.15730135110107493
8,4,0,2.634556294540344,0.05069522314948255
8,5,0,2.84629448206046,0.17629843086821903
8,6,0,3.070771817943687,0.17414132544720395
8,7,0,2.7512572834804625,0.15266828607426977
9,0,0,3.1688435854694683,0.3057653322023615
9,1,0,1.1689184899810825,0.2029088236050111
9,2,0,2.028175886147449,0.05188182163900687
9,3,0,2.854795978874806,0.06321986009447059
9,4,0,2.3638649938518284,0.15105852720971724
9,5,0,2.4338210170000796,0.052897660221609764
9,6,0,1.9531048549561532,0.18507650178887267
9,7,0,2.23095779545934,0.20192099800051574
9,8,0,3.222886574924363,0.015816636257572722
10,0,0,3.416297246816972,0.1883582798238355
10,1,0,2.2151765595653665,0.2868806244534534
10,2,0,2.37966311285913,0.18406706498963812
10,3,0,2.6193018403465125,0.2935683135211535
10,4,0,1.9914346941338847,0.052786002943473444
10,5,0,2.2432538865868845,0.3045965627156587
10,6,0,2.195889447953537,0.06539958862111545
10,7,0,1.9214820273530586,0.018384299458228195
10,8,0,3.481653237152763,0.15452302043136196
10,9,0,2.28762834236016,0.1869409451392269
11,0,0,2.9603813581074436,0.04950718053937236
11,1,0,1.9821218982548197,0.1795347179533377
11,2,0,2.0000421804982564,0.15140431429624424
11,3,0,2.1820951480096262,0.054473044096841346
11,4,0,2.4921196047338885,0.2698097289518368
11,5,0,2.4771497220290777,0.05279924691425566
11,6,0,2.069965358777459,0.25785562256124417
11,7,0,2.3890752065070493,0.20284096703585666
11,8,0,2.9719645547679856,0.13893693849398245
11,9,0,1.795636176910079,0.14522988860633662
11,10,0,1.6808199424192816,0.18475649046029394
12,0,0,2.400080137589658,0.18488096074891527
12,1,0,2.486984259835328,0.1737804660263914
12,2,0,1.3142534633272909,0.0028077300149114116
12,3,0,2.3653978624191208,0.3091154730101494
12,4,0,3.010304120207211,0.17703007675301202
12,5,0,2.6080024322966655,0.20326207342999325
12,6,0,2.8336242254371418,0.2923234999137273
12,7,0,3.0624656161883146,0.15189356350902652
12,8,0,2.2517152777665603,0.038902154409210965
12,9,0,2.0380477088359257,0.1436927884637958
12,10,0,2.6856992349705067,0.1594786323126717
12,11,0,1.9445700219830195,0.3186926654214318
13,0,0,2.8946111829688728,0.16795342553532752
