cid1,cid2,tabsAgreement,rmsd,tfd
1,0,0,0.5446193386163883,0.02438009461715566
2,0,0,0.75998185426436,0.046640943957001815
2,1,0,1.0019237574228892,0.23511310489516588
3,0,0,1.0047849122107304,0.2550265418764014
3,1,0,1.1244349949744725,0.2661185110848924
3,2,0,1.2714775768864008,0.20374679323652425
4,0,0,1.656989070987253,0.1753645160808475
4,1,0,1.8992934389984995,0.4129623545320147
4,2,0,1.806192330947365,0.11319943256337857
4,3,0,1.5655340377962592,0.15144446466751288
5,0,0,1.5544986065720268,0.36062723027951216
5,1,0,1.6620788910638102,0.3375555610554055
5,2,0,1.5452185245347674,0.3999223639400489
5,3,0,1.4802557503119573,0.21279647556149955
5,4,0,1.236633967960433,0.21747455377171312
6,0,0,1.7659921999870918,0.41727371029301097
6,1,0,1.941761265104936,0.34571389596373214
6,2,0,1.770188450401063,0.2942832138045909
6,3,0,1.7847066020458549,0.21143872226308894
6,4,0,0.9415847088749956,0.25167501622663974
6,5,0,0.8895269210246336,0.20794453319773204
7,0,0,1.365016766274115,0.06470188170042199
7,1,0,1.53907492489143,0.17378922146081996
7,2,0,1.27551832807142,0.35436764036222695
7,3,0,1.9300868088192447,0.21642439663019394
7,4,0,1.4984209880718524,0.28602258160947214
7,5,0,1.3938529293667548,0.22242605502769294
7,6,0,1.404591998583493,0.1899777701112918
8,0,0,1.3000410824281041,0.3700936935860894
8,1,0,1.5993420050948373,0.18027175930692318
8,2,0,1.2334591930433936,0.24752346175888942
8,3,0,1.4985506975967644,0.33123317978627803
8,4,0,1.5963088856929433,0.3300161009276401
8,5,0,1.9037335452247826,0.13159466930562885
8,6,0,1.682373759640852,0.34004896382905936
8,7,0,1.602125013307923,0.31303413056684576
9,0,0,1.231275920242179,0.1588830201385327
9,1,0,1.0961942609461055,0.17793209285052067
9,2,0,1.6406113514810559,0.2776913395265907
9,3,0,1.586952218572184,0.27726015239475377
9,4,0,1.8978700833840794,0.152116116598946
9,5,0,1.636279324063987,0.22535821370911727
